City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.8,72,45,6.0,TF,1691551410
1,whitehorse,60.7161,-135.0538,289.58,82,40,1.03,CA,1691551249
2,grytviken,-54.2811,-36.5092,271.3,91,31,4.6,GS,1691551148
3,recani,31.2846,-4.2688,304.42,23,43,3.16,MA,1691551412
4,lazaro cardenas,17.9583,-102.2,302.04,84,25,3.15,MX,1691550867
5,hermanus,-34.4187,19.2345,283.68,84,0,6.24,ZA,1691551171
6,blackmans bay,-43.0167,147.3167,287.22,55,100,3.45,AU,1691551102
7,saint-pierre,-21.3393,55.4781,291.97,63,0,3.09,RE,1691551250
8,papatowai,-46.5619,169.4708,278.84,70,92,6.97,NZ,1691551254
9,edinburgh of the seven seas,-37.0676,-12.3116,285.44,71,100,11.32,SH,1691551413
10,mantsala,60.6609,25.2838,286.07,94,0,1.98,FI,1691551414
11,hamilton,39.1834,-84.5333,295.98,82,0,2.06,US,1691551044
12,baltinava,56.95,27.65,282.88,87,18,2.19,LV,1691551415
13,portland,45.5234,-122.6762,301.33,47,20,3.09,US,1691551182
14,fort st. john,56.2499,-120.8529,291.09,72,75,4.12,CA,1691551415
15,adamstown,-25.066,-130.1015,295.38,85,95,15.43,PN,1691551107
16,klyuchi,52.2667,79.1667,296.44,39,48,1.07,RU,1691551206
17,thompson,55.7435,-97.8558,284.24,87,40,2.57,CA,1691551151
18,yellowknife,62.456,-114.3525,292.44,52,75,4.63,CA,1691551416
19,weno,7.4515,151.8468,303.12,79,100,3.6,FM,1691551311
20,ushuaia,-54.8,-68.3,273.96,86,0,1.54,AR,1691551145
21,quellon,-43.1167,-73.6167,283.29,93,100,7.72,CL,1691551418
22,kupang,-10.1667,123.5833,303.47,45,20,8.75,ID,1691551383
23,iqaluit,63.7506,-68.5145,277.98,86,40,4.02,CA,1691551107
24,haiku-pauwela,20.9219,-156.3051,301.16,60,20,11.83,US,1691550947
25,rosarito,32.3333,-117.0333,297.73,81,51,2.39,MX,1691551420
26,bilibino,68.0546,166.4372,279.67,70,100,3.04,RU,1691551150
27,bada,51.392,109.8717,291.27,85,100,1.4,RU,1691551421
28,namibe,-15.1961,12.1522,289.99,89,1,3.08,AO,1691551198
29,port alfred,-33.5906,26.891,287.14,97,100,4.79,ZA,1691550984
30,amursk,50.2261,136.8994,295.38,49,68,6.89,RU,1691551421
31,yoichi,43.2039,140.7703,299.2,90,97,2.24,JP,1691551422
32,isafjordur,66.0755,-23.124,282.71,62,14,1.77,IS,1691551165
33,kil,59.5072,13.314,284.09,93,75,5.66,SE,1691551422
34,waitangi,-43.9535,-176.5597,281.94,82,100,1.79,NZ,1691551103
35,palikir - national government center,6.9248,158.1611,302.62,79,100,8.23,FM,1691551423
36,timimoun,29.2639,0.231,303.36,16,0,6.17,DZ,1691551423
37,vila velha,-20.3297,-40.2925,295.12,96,100,5.14,BR,1691551154
38,ponta delgada,37.7333,-25.6667,296.55,83,40,5.66,PT,1691551423
39,likasi,-10.9814,26.7333,286.11,58,6,1.43,CD,1691551424
40,traverse city,44.7631,-85.6206,291.19,86,0,0.0,US,1691551424
41,bethel,41.3712,-73.414,295.09,76,37,0.45,US,1691551109
42,saint-francois,46.4154,3.9054,284.84,87,0,1.54,FR,1691551424
43,puerto natales,-51.7236,-72.4875,275.41,95,100,1.91,CL,1691550989
44,east end,34.5507,-92.341,297.46,95,75,2.12,US,1691551425
45,san antonio de pale,-1.4014,5.6325,296.41,79,30,6.02,GQ,1691551353
46,albany,42.6001,-73.9662,293.6,86,97,3.13,US,1691550593
47,tabou,4.423,-7.3528,296.92,89,100,5.58,CI,1691551380
48,college,64.8569,-147.8028,292.36,82,100,2.06,US,1691551147
49,dudinka,69.4058,86.1778,294.61,51,87,1.39,RU,1691551188
50,kenai,60.5544,-151.2583,291.2,78,100,3.6,US,1691551415
51,maintirano,-18.0667,44.0167,293.96,85,3,4.04,MG,1691551427
52,corn island,12.1694,-83.0418,301.35,82,100,3.54,NI,1691551427
53,mossel bay,-34.1831,22.146,284.11,83,17,2.82,ZA,1691551428
54,zhangjiakou,40.81,114.8794,299.7,64,0,1.0,CN,1691551428
55,qaqortoq,60.7167,-46.0333,278.18,88,62,0.35,GL,1691551428
56,ararat,39.8317,44.7049,299.34,41,0,1.36,AM,1691551429
57,margaret river,-33.95,115.0667,287.84,52,16,2.32,AU,1691551429
58,bredasdorp,-34.5322,20.0403,281.63,90,0,2.45,ZA,1691551101
59,palangkaraya,-2.2,113.8333,304.08,50,40,1.96,ID,1691551429
60,eirunepe,-6.6603,-69.8736,296.02,95,99,0.7,BR,1691551430
61,puerto ayora,-0.7393,-90.3518,297.34,89,88,2.68,EC,1691551139
62,boa vista,2.8197,-60.6733,298.14,94,20,1.54,BR,1691551300
63,mhamid,29.82,-5.72,307.38,13,57,3.81,MA,1691551258
64,banff,51.1762,-115.5698,288.36,77,90,2.06,CA,1691551253
65,kiffa,16.6166,-11.4045,305.61,28,10,5.42,MR,1691551313
66,onguday,50.75,86.15,291.08,81,90,0.33,RU,1691551431
67,tsiombe,-25.3,45.4833,291.44,95,2,2.64,MG,1691551224
68,jamestown,42.097,-79.2353,293.92,94,0,3.09,US,1691551107
69,charters towers,-20.1,146.2667,298.31,27,63,6.38,AU,1691551433
70,tiksi,71.6872,128.8694,291.35,44,7,1.32,RU,1691551174
71,luganville,-15.5333,167.1667,295.08,94,100,5.25,VU,1691551122
72,chilca,-12.5211,-76.7372,291.14,86,94,3.56,PE,1691551433
73,malvan,16.0667,73.4667,300.08,80,98,2.43,IN,1691551386
74,georgetown,5.4112,100.3354,305.11,69,20,2.06,MY,1691551114
75,stanley,54.868,-1.6985,283.86,84,0,3.09,GB,1691551146
76,kittila,67.6647,24.8936,292.38,94,75,3.6,FI,1691551435
77,naifaru,5.4444,73.3657,300.76,79,98,5.29,MV,1691551435
78,port elizabeth,-33.918,25.5701,287.31,94,75,1.03,ZA,1691551107
79,el porvenir,13.7617,-87.3458,296.78,69,100,1.56,HN,1691551390
80,happy valley-goose bay,53.3168,-60.3315,287.32,82,75,1.03,CA,1691551435
81,nicoya,10.1483,-85.452,297.98,93,100,0.44,CR,1691551437
82,gadzhiyevo,69.2551,33.3362,289.42,78,0,4.37,RU,1691551437
83,hithadhoo,-0.6,73.0833,300.61,75,42,2.3,MV,1691551171
84,anadyr,64.75,177.4833,284.43,87,75,7.0,RU,1691551229
85,hawaiian paradise park,19.5933,-154.9731,300.88,78,40,4.12,US,1691550847
86,punta arenas,-53.15,-70.9167,274.64,89,26,3.14,CL,1691551237
87,kurmuk,10.55,34.2833,293.32,94,100,0.68,SD,1691551439
88,fale old settlement,-9.3852,-171.2468,301.16,79,29,5.31,TK,1691550880
89,motueka,-41.1333,173.0167,284.32,58,39,2.43,NZ,1691551440
90,wuwei,37.9281,102.6414,304.67,38,17,5.25,CN,1691551253
91,nguigmi,14.2495,13.1092,301.75,63,87,4.39,NE,1691551441
92,ilulissat,69.2167,-51.1,278.16,81,20,1.54,GL,1691551120
93,lodja,-3.4833,23.4333,293.32,96,93,0.46,CD,1691551441
94,visby,57.6409,18.296,285.83,93,20,3.6,SE,1691551442
95,okhotsk,59.3833,143.3,291.33,48,1,2.86,RU,1691551172
96,tra vinh,9.9347,106.3453,304.93,59,0,4.99,VN,1691551442
